iter	Passed	Remaining
0	139	139447
1	141	70633
2	143	47669
3	145	36260
4	147	29449
5	150	24966
6	153	21738
7	155	19313
8	158	17443
9	161	15960
10	163	14728
11	166	13699
12	169	12848
13	171	12086
14	174	11459
15	176	10874
16	179	10376
17	181	9911
18	184	9501
19	186	9135
20	188	8795
21	191	8501
22	193	8238
23	196	8010
24	199	7788
25	202	7591
26	205	7406
27	208	7234
28	211	7074
29	214	6919
30	216	6778
31	219	6639
32	222	6511
33	225	6400
34	227	6280
35	230	6162
36	232	6060
37	234	5938
38	237	5842
39	239	5753
40	242	5669
41	245	5596
42	248	5519
43	249	5425
44	252	5352
45	255	5289
46	257	5222
47	259	5154
48	262	5088
49	263	5007
50	265	4947
51	268	4890
52	270	4834
53	272	4770
54	274	4724
55	277	4670
56	279	4619
57	281	4569
58	283	4526
59	285	4480
60	288	4438
61	290	4391
62	292	4349
63	294	4306
64	296	4265
65	298	4221
66	299	4176
67	300	4121
68	302	4077
69	303	4034
70	305	3993
71	306	3951
72	307	3908
73	309	3868
74	310	3829
75	311	3791
76	313	3752
77	314	3715
78	315	3679
79	316	3644
80	318	3609
81	319	3575
82	320	3541
83	321	3508
84	322	3471
85	323	3440
86	324	3405
87	325	3374
88	326	3346
89	328	3317
90	329	3290
91	330	3264
92	332	3238
93	333	3211
94	334	3184
95	335	3158
96	336	3133
97	337	3110
98	339	3085
99	340	3063
100	341	3040
101	342	3011
102	343	2988
103	344	2965
104	345	2944
105	346	2922
106	347	2903
107	348	2882
108	349	2860
109	351	2844
110	352	2826
111	354	2808
112	355	2789
113	356	2772
114	357	2753
115	358	2734
116	359	2715
117	361	2698
118	361	2679
119	363	2662
120	364	2645
121	365	2631
122	366	2611
123	367	2597
124	368	2581
125	370	2567
126	371	2553
127	372	2535
128	373	2521
129	374	2507
130	376	2495
131	377	2481
132	378	2468
133	379	2454
134	380	2441
135	382	2428
136	383	2415
137	384	2400
138	385	2388
139	386	2375
140	387	2363
141	389	2351
142	390	2339
143	391	2327
144	392	2315
145	393	2302
146	394	2291
147	395	2279
148	397	2268
149	398	2257
150	399	2246
151	400	2235
152	401	2224
153	402	2213
154	404	2204
155	405	2194
156	406	2184
157	408	2174
158	409	2165
159	410	2155
160	411	2146
161	412	2136
162	414	2126
163	415	2118
164	416	2109
165	418	2100
166	419	2091
167	420	2082
168	421	2072
169	422	2064
170	424	2055
171	425	2046
172	426	2037
173	427	2030
174	428	2021
175	430	2013
176	431	2004
177	432	1997
178	433	1989
179	435	1981
180	435	1970
181	436	1962
182	437	1954
183	439	1947
184	440	1939
185	441	1932
186	442	1924
187	443	1917
188	445	1910
189	446	1902
190	447	1895
191	448	1888
192	450	1881
193	451	1874
194	452	1867
195	453	1860
196	454	1854
197	455	1846
198	457	1840
199	458	1833
200	459	1827
201	460	1820
202	461	1813
203	462	1806
204	464	1800
205	465	1794
206	466	1788
207	467	1781
208	469	1776
209	470	1770
210	471	1764
211	472	1758
212	474	1752
213	475	1746
214	476	1741
215	478	1735
216	479	1730
217	480	1724
218	481	1718
219	483	1712
220	484	1707
221	485	1701
222	486	1696
223	487	1690
224	489	1685
225	490	1679
226	491	1675
227	493	1670
228	494	1664
229	495	1659
230	496	1654
231	498	1648
232	499	1643
233	500	1638
234	501	1633
235	502	1628
236	504	1622
237	505	1618
238	506	1613
239	507	1608
240	509	1603
241	510	1599
242	511	1594
243	513	1589
244	514	1584
245	515	1580
246	516	1575
247	517	1570
248	519	1565
249	520	1561
250	521	1557
251	523	1552
252	524	1548
253	525	1543
254	526	1538
255	527	1534
256	528	1529
257	530	1524
258	531	1520
259	532	1515
260	533	1511
261	534	1506
262	536	1502
263	537	1498
264	538	1494
265	540	1490
266	541	1485
267	542	1481
268	543	1476
269	544	1472
270	545	1468
271	546	1463
272	548	1459
273	549	1455
274	550	1451
275	551	1447
276	552	1443
277	554	1438
278	555	1434
279	556	1430
280	557	1427
281	559	1423
282	560	1419
283	561	1415
284	562	1411
285	564	1408
286	565	1404
287	566	1401
288	568	1397
289	569	1393
290	570	1389
291	571	1386
292	573	1383
293	574	1378
294	575	1375
295	576	1371
296	577	1367
297	579	1364
298	580	1360
299	581	1356
300	582	1352
301	583	1348
302	584	1344
303	585	1341
304	586	1337
305	588	1333
306	589	1330
307	590	1326
308	591	1322
309	592	1318
310	593	1315
311	594	1311
312	595	1308
313	597	1304
314	598	1301
315	599	1297
316	600	1294
317	602	1291
318	603	1288
319	604	1284
320	605	1281
321	607	1278
322	608	1274
323	609	1271
324	610	1268
325	611	1264
326	613	1261
327	614	1258
328	615	1255
329	616	1251
330	617	1248
331	618	1244
332	619	1241
333	621	1238
334	622	1235
335	623	1232
336	624	1229
337	626	1226
338	627	1223
339	628	1220
340	629	1217
341	631	1214
342	632	1210
343	633	1207
344	634	1204
345	635	1201
346	636	1197
347	637	1194
348	638	1190
349	639	1187
350	640	1184
351	641	1181
352	643	1178
353	644	1175
354	645	1172
355	646	1169
356	647	1166
357	649	1163
358	650	1161
359	651	1158
360	652	1155
361	653	1152
362	654	1149
363	656	1146
364	657	1143
365	658	1141
366	659	1137
367	661	1135
368	662	1132
369	663	1129
370	664	1126
371	665	1123
372	666	1120
373	667	1117
374	669	1115
375	670	1112
376	671	1109
377	672	1106
378	673	1103
379	674	1100
380	675	1098
381	677	1095
382	678	1092
383	679	1089
384	680	1087
385	681	1084
386	682	1081
387	684	1079
388	685	1076
389	686	1074
390	688	1071
391	689	1069
392	690	1066
393	691	1063
394	693	1061
395	694	1059
396	695	1056
397	696	1054
398	698	1051
399	699	1049
400	700	1046
401	702	1044
402	703	1041
403	704	1039
404	705	1036
405	707	1034
406	708	1032
407	709	1029
408	710	1027
409	712	1024
410	713	1022
411	714	1019
412	715	1017
413	717	1015
414	718	1012
415	719	1010
416	720	1007
417	722	1005
418	723	1002
419	724	1000
420	725	998
421	726	995
422	728	993
423	729	990
424	730	988
425	731	985
426	733	983
427	734	981
428	735	979
429	737	977
430	738	975
431	740	973
432	741	971
433	743	969
434	744	966
435	745	964
436	746	962
437	748	960
438	749	957
439	750	955
440	751	953
441	753	950
442	754	948
443	755	946
444	756	943
445	758	941
446	759	939
447	760	937
448	761	934
449	762	932
450	764	930
451	765	927
452	766	925
453	767	923
454	768	921
455	770	918
456	771	916
457	772	914
458	773	912
459	775	909
460	776	907
461	777	905
462	778	902
463	779	900
464	780	898
465	782	896
466	783	894
467	784	891
468	785	889
469	787	887
470	788	885
471	789	883
472	790	881
473	791	878
474	793	876
475	794	874
476	795	872
477	796	870
478	797	867
479	799	865
480	800	863
481	801	861
482	802	859
483	804	857
484	805	855
485	806	852
486	807	850
487	808	848
488	810	846
489	811	844
490	812	842
491	813	839
492	814	837
493	815	835
494	816	833
495	818	831
496	819	829
497	820	827
498	821	825
499	823	823
500	824	820
501	825	818
502	826	816
503	827	814
504	829	812
505	830	810
506	831	808
507	832	806
508	833	804
509	834	802
510	836	800
511	837	798
512	838	796
513	839	794
514	841	792
515	842	790
516	843	787
517	844	785
518	845	783
519	846	781
520	847	779
521	849	777
522	850	775
523	851	773
524	852	771
525	853	769
526	854	767
527	856	765
528	857	763
529	858	761
530	859	759
531	860	757
532	861	755
533	863	753
534	864	751
535	865	749
536	866	746
537	867	744
538	868	742
539	870	741
540	871	739
541	872	737
542	873	735
543	875	733
544	876	731
545	877	729
546	878	727
547	879	725
548	880	723
549	882	721
550	883	719
551	884	717
552	885	715
553	886	714
554	888	712
555	889	710
556	890	708
557	891	706
558	892	704
559	894	702
560	895	700
561	896	698
562	897	696
563	898	694
564	899	692
565	900	690
566	902	688
567	903	686
568	904	684
569	905	683
570	906	681
571	908	679
572	909	677
573	910	675
574	911	673
575	912	671
576	913	670
577	915	668
578	916	666
579	917	664
580	918	662
581	919	660
582	921	658
583	922	657
584	923	655
585	925	653
586	926	651
587	927	650
588	928	648
589	930	646
590	931	644
591	932	642
592	933	641
593	935	639
594	936	637
595	937	635
596	938	633
597	939	631
598	941	629
599	942	628
600	943	626
601	944	624
602	945	622
603	946	620
604	947	618
605	949	617
606	950	615
607	951	613
608	952	611
609	953	609
610	954	607
611	956	606
612	957	604
613	958	602
614	959	600
615	961	599
616	962	597
617	963	595
618	964	593
619	965	592
620	966	590
621	968	588
622	969	586
623	970	584
624	971	582
625	973	581
626	974	579
627	975	577
628	976	576
629	977	574
630	979	572
631	980	570
632	981	569
633	983	567
634	984	565
635	985	563
636	986	562
637	987	560
638	988	558
639	989	556
640	990	554
641	991	552
642	992	550
643	993	549
644	994	547
645	995	545
646	997	543
647	998	542
648	999	540
649	1000	538
650	1002	537
651	1003	535
652	1004	533
653	1005	532
654	1006	530
655	1007	528
656	1008	526
657	1009	524
658	1010	523
659	1012	521
660	1013	519
661	1014	518
662	1015	516
663	1016	514
664	1018	512
665	1019	511
666	1020	509
667	1021	507
668	1022	506
669	1024	504
670	1025	502
671	1026	501
672	1027	499
673	1029	497
674	1029	495
675	1030	494
676	1031	492
677	1032	490
678	1033	488
679	1034	486
680	1036	485
681	1037	483
682	1038	482
683	1039	480
684	1040	478
685	1042	477
686	1043	475
687	1044	473
688	1045	472
689	1047	470
690	1048	468
691	1049	467
692	1050	465
693	1051	463
694	1053	462
695	1054	460
696	1055	458
697	1056	457
698	1057	455
699	1058	453
700	1059	451
701	1060	450
702	1061	448
703	1062	446
704	1063	445
705	1064	443
706	1065	441
707	1066	439
708	1067	438
709	1068	436
710	1070	434
711	1071	433
712	1072	431
713	1073	430
714	1074	428
715	1076	426
716	1077	425
717	1078	423
718	1079	422
719	1081	420
720	1082	418
721	1083	417
722	1084	415
723	1086	414
724	1087	412
725	1088	410
726	1089	409
727	1090	407
728	1091	405
729	1093	404
730	1094	402
731	1095	401
732	1096	399
733	1097	397
734	1098	396
735	1099	394
736	1101	393
737	1102	391
738	1103	389
739	1105	388
740	1106	386
741	1107	385
742	1109	383
743	1110	382
744	1111	380
745	1112	378
746	1114	377
747	1115	375
748	1116	374
749	1117	372
750	1118	370
751	1119	369
752	1120	367
753	1122	366
754	1123	364
755	1124	362
756	1125	361
757	1126	359
758	1128	358
759	1129	356
760	1130	355
761	1131	353
762	1132	351
763	1133	350
764	1135	348
765	1136	347
766	1138	345
767	1139	344
768	1140	342
769	1141	341
770	1143	339
771	1144	337
772	1145	336
773	1146	334
774	1147	333
775	1148	331
776	1150	330
777	1151	328
778	1152	326
779	1153	325
780	1154	323
781	1155	322
782	1157	320
783	1158	319
784	1159	317
785	1160	315
786	1161	314
787	1163	312
788	1164	311
789	1165	309
790	1166	308
791	1168	306
792	1169	305
793	1170	303
794	1171	302
795	1172	300
796	1173	298
797	1174	297
798	1175	295
799	1177	294
800	1178	292
801	1179	291
802	1180	289
803	1181	288
804	1182	286
805	1183	284
806	1184	283
807	1185	281
808	1186	280
809	1187	278
810	1188	276
811	1189	275
812	1191	273
813	1192	272
814	1193	270
815	1194	269
816	1195	267
817	1196	266
818	1197	264
819	1198	263
820	1200	261
821	1201	260
822	1202	258
823	1203	257
824	1204	255
825	1205	253
826	1206	252
827	1208	250
828	1209	249
829	1210	247
830	1211	246
831	1212	244
832	1214	243
833	1215	241
834	1216	240
835	1217	238
836	1218	237
837	1220	235
838	1221	234
839	1222	232
840	1223	231
841	1224	229
842	1225	228
843	1227	226
844	1228	225
845	1229	223
846	1230	222
847	1231	220
848	1232	219
849	1233	217
850	1235	216
851	1236	214
852	1237	213
853	1238	211
854	1239	210
855	1241	208
856	1242	207
857	1243	205
858	1244	204
859	1246	202
860	1247	201
861	1248	199
862	1249	198
863	1250	196
864	1251	195
865	1252	193
866	1253	192
867	1254	190
868	1256	189
869	1257	187
870	1258	186
871	1259	184
872	1261	183
873	1262	181
874	1263	180
875	1264	179
876	1265	177
877	1266	176
878	1268	174
879	1269	173
880	1270	171
881	1271	170
882	1272	168
883	1274	167
884	1275	165
885	1276	164
886	1277	162
887	1278	161
888	1280	159
889	1281	158
890	1282	156
891	1283	155
892	1284	153
893	1285	152
894	1287	151
895	1288	149
896	1289	148
897	1290	146
898	1291	145
899	1292	143
900	1294	142
901	1295	140
902	1296	139
903	1297	137
904	1298	136
905	1299	134
906	1301	133
907	1302	131
908	1303	130
909	1304	129
910	1305	127
911	1306	126
912	1308	124
913	1309	123
914	1310	121
915	1311	120
916	1312	118
917	1313	117
918	1314	115
919	1315	114
920	1316	112
921	1317	111
922	1319	110
923	1320	108
924	1321	107
925	1322	105
926	1324	104
927	1325	102
928	1326	101
929	1327	99
930	1328	98
931	1330	97
932	1331	95
933	1332	94
934	1333	92
935	1334	91
936	1335	89
937	1336	88
938	1338	86
939	1339	85
940	1340	84
941	1341	82
942	1342	81
943	1344	79
944	1345	78
945	1346	76
946	1347	75
947	1349	73
948	1350	72
949	1351	71
950	1352	69
951	1353	68
952	1354	66
953	1355	65
954	1356	63
955	1358	62
956	1359	61
957	1360	59
958	1361	58
959	1362	56
960	1364	55
961	1365	53
962	1366	52
963	1367	51
964	1368	49
965	1369	48
966	1370	46
967	1372	45
968	1373	43
969	1374	42
970	1375	41
971	1376	39
972	1377	38
973	1379	36
974	1380	35
975	1381	33
976	1382	32
977	1384	31
978	1385	29
979	1386	28
980	1387	26
981	1388	25
982	1389	24
983	1390	22
984	1392	21
985	1393	19
986	1394	18
987	1395	16
988	1396	15
989	1398	14
990	1399	12
991	1400	11
992	1401	9
993	1402	8
994	1404	7
995	1405	5
996	1406	4
997	1407	2
998	1408	1
999	1410	0
