iter	Passed	Remaining
0	84	84573
1	86	43292
2	87	29189
3	88	22113
4	90	17966
5	91	15240
6	93	13251
7	94	11769
8	96	10606
9	97	9639
10	98	8869
11	100	8240
12	101	7704
13	102	7238
14	103	6815
15	104	6441
16	106	6132
17	107	5854
18	108	5617
19	109	5378
20	110	5172
21	112	5003
22	113	4837
23	115	4678
24	116	4529
25	117	4401
26	118	4281
27	120	4166
28	121	4063
29	123	3977
30	124	3887
31	125	3796
32	126	3703
33	127	3623
34	129	3559
35	130	3493
36	131	3430
37	132	3363
38	133	3298
39	135	3242
40	136	3186
41	137	3145
42	139	3102
43	140	3058
44	142	3030
45	143	2981
46	144	2938
47	145	2895
48	147	2856
49	148	2819
50	149	2790
51	151	2756
52	153	2739
53	154	2706
54	155	2671
55	156	2637
56	157	2608
57	159	2588
58	160	2562
59	161	2536
60	162	2508
61	163	2480
62	165	2454
63	166	2429
64	166	2402
65	168	2378
66	169	2355
67	170	2342
68	172	2327
69	173	2310
70	175	2295
71	177	2283
72	178	2263
73	179	2243
74	180	2227
75	181	2212
76	183	2197
77	185	2187
78	186	2171
79	187	2154
80	188	2139
81	190	2127
82	190	2106
83	192	2096
84	193	2081
85	194	2067
86	195	2054
87	196	2040
88	197	2026
89	198	2011
90	200	1998
91	201	1992
92	203	1980
93	204	1969
94	205	1959
95	206	1947
96	208	1939
97	209	1926
98	210	1914
99	211	1903
100	213	1896
101	214	1892
102	216	1887
103	217	1876
104	218	1865
105	220	1858
106	221	1849
107	222	1840
108	224	1832
109	225	1821
110	226	1816
111	227	1807
112	229	1798
113	230	1788
114	231	1781
115	233	1775
116	234	1766
117	235	1759
118	236	1750
119	237	1741
120	238	1734
121	239	1726
122	241	1721
123	243	1717
124	244	1710
125	245	1705
126	246	1696
127	247	1687
128	248	1679
129	249	1673
130	251	1666
131	252	1660
132	253	1654
133	254	1646
134	255	1638
135	256	1630
136	257	1624
137	259	1618
138	260	1613
139	261	1605
140	262	1599
141	263	1591
142	264	1586
143	265	1579
144	266	1573
145	268	1568
146	269	1564
147	270	1559
148	271	1553
149	273	1547
150	274	1541
151	275	1536
152	276	1532
153	278	1527
154	279	1523
155	280	1518
156	281	1512
157	282	1506
158	284	1503
159	285	1500
160	286	1493
161	287	1489
162	289	1485
163	290	1481
164	291	1476
165	292	1471
166	294	1466
167	295	1462
168	296	1458
169	297	1453
170	299	1449
171	300	1445
172	301	1441
173	302	1438
174	304	1435
175	305	1431
176	307	1428
177	308	1425
178	310	1422
179	311	1417
180	312	1414
181	314	1413
182	316	1410
183	317	1407
184	319	1406
185	320	1402
186	322	1400
187	323	1398
188	324	1393
189	326	1391
190	327	1389
191	329	1386
192	330	1382
193	331	1378
194	333	1376
195	335	1375
196	336	1372
197	338	1370
198	339	1368
199	341	1365
200	342	1361
201	343	1358
202	345	1355
203	346	1352
204	347	1349
205	348	1345
206	350	1341
207	351	1338
208	353	1336
209	354	1334
210	356	1331
211	357	1328
212	358	1325
213	359	1321
214	361	1318
215	362	1315
216	363	1312
217	365	1310
218	366	1307
219	368	1306
220	370	1305
221	372	1303
222	373	1301
223	375	1299
224	376	1297
225	378	1296
226	379	1293
227	381	1291
228	382	1288
229	384	1285
230	385	1283
231	387	1282
232	388	1280
233	390	1278
234	392	1276
235	393	1273
236	394	1270
237	396	1268
238	397	1265
239	398	1262
240	400	1261
241	402	1260
242	404	1258
243	405	1256
244	406	1253
245	408	1252
246	410	1250
247	411	1248
248	413	1246
249	414	1244
250	416	1241
251	417	1238
252	418	1235
253	419	1232
254	421	1230
255	422	1227
256	423	1225
257	425	1224
258	427	1222
259	428	1220
260	430	1218
261	431	1216
262	433	1214
263	434	1212
264	435	1209
265	437	1206
266	438	1203
267	440	1201
268	441	1199
269	442	1197
270	444	1195
271	445	1193
272	447	1190
273	448	1188
274	449	1185
275	450	1182
276	452	1180
277	453	1178
278	454	1175
279	456	1173
280	458	1171
281	459	1170
282	461	1168
283	462	1166
284	464	1164
285	465	1162
286	467	1160
287	468	1157
288	470	1156
289	471	1155
290	473	1153
291	474	1150
292	475	1148
293	477	1146
294	478	1144
295	480	1142
296	481	1140
297	482	1137
298	484	1136
299	485	1133
300	487	1132
301	488	1130
302	490	1129
303	492	1126
304	493	1125
305	495	1122
306	497	1122
307	498	1120
308	500	1118
309	501	1117
310	503	1115
311	505	1113
312	506	1112
313	508	1110
314	509	1108
315	511	1107
316	513	1105
317	515	1104
318	516	1103
319	518	1101
320	519	1099
321	521	1097
322	522	1095
323	524	1094
324	525	1092
325	527	1090
326	528	1088
327	530	1086
328	531	1084
329	533	1082
330	534	1080
331	536	1079
332	537	1077
333	539	1076
334	541	1074
335	542	1072
336	543	1070
337	545	1068
338	546	1066
339	548	1064
340	549	1062
341	551	1060
342	552	1058
343	554	1056
344	555	1055
345	557	1053
346	559	1052
347	560	1050
348	561	1048
349	563	1046
350	565	1045
351	566	1043
352	568	1042
353	569	1040
354	571	1038
355	572	1036
356	574	1034
357	575	1032
358	577	1030
359	578	1028
360	580	1026
361	581	1025
362	583	1023
363	584	1022
364	586	1020
365	588	1020
366	590	1018
367	591	1016
368	593	1014
369	594	1012
370	596	1011
371	598	1009
372	599	1007
373	601	1006
374	602	1004
375	604	1002
376	606	1002
377	608	1001
378	609	998
379	610	996
380	612	995
381	614	993
382	615	991
383	616	989
384	618	987
385	619	985
386	620	983
387	622	981
388	623	979
389	625	977
390	626	975
391	627	973
392	628	970
393	629	968
394	631	966
395	632	964
396	633	962
397	635	960
398	636	958
399	637	956
400	639	955
401	640	953
402	642	951
403	643	949
404	646	949
405	647	947
406	649	945
407	650	943
408	651	942
409	653	940
410	654	937
411	655	935
412	657	934
413	658	932
414	659	929
415	660	927
416	661	925
417	663	923
418	664	921
419	665	918
420	666	916
421	667	914
422	668	912
423	670	910
424	671	908
425	672	905
426	673	903
427	674	901
428	675	898
429	676	896
430	677	894
431	678	892
432	679	889
433	680	887
434	681	885
435	682	883
436	684	881
437	685	879
438	686	877
439	688	875
440	689	873
441	690	871
442	691	869
443	692	867
444	694	865
445	695	863
446	696	861
447	697	859
448	698	857
449	700	855
450	701	854
451	703	853
452	705	852
453	707	851
454	709	850
455	711	848
456	712	846
457	714	845
458	716	844
459	717	842
460	719	840
461	720	839
462	722	838
463	724	836
464	726	835
465	728	835
466	730	833
467	732	832
468	734	831
469	735	829
470	737	828
471	740	827
472	741	826
473	743	824
474	744	823
475	746	821
476	748	821
477	750	819
478	752	817
479	753	816
480	755	814
481	757	813
482	758	812
483	760	810
484	761	808
485	763	807
486	764	805
487	765	803
488	766	801
489	768	799
490	770	798
491	771	796
492	772	794
493	774	793
494	775	791
495	777	789
496	778	787
497	779	786
498	781	784
499	782	782
500	783	780
501	784	778
502	786	776
503	787	775
504	789	773
505	790	771
506	791	769
507	792	767
508	794	766
509	795	764
510	796	762
511	798	761
512	800	759
513	801	758
514	803	756
515	804	754
516	806	753
517	807	751
518	809	749
519	810	748
520	812	746
521	814	745
522	815	743
523	817	742
524	818	740
525	819	738
526	821	736
527	822	735
528	823	733
529	825	731
530	826	729
531	827	728
532	828	726
533	830	724
534	832	723
535	833	721
536	834	719
537	836	718
538	837	716
539	839	714
540	840	713
541	843	712
542	845	711
543	846	709
544	848	707
545	849	706
546	850	704
547	851	702
548	853	700
549	854	699
550	855	697
551	857	695
552	858	693
553	859	692
554	860	690
555	862	688
556	864	687
557	865	685
558	867	684
559	868	682
560	869	680
561	871	678
562	872	677
563	874	675
564	875	674
565	876	672
566	878	670
567	880	669
568	881	667
569	883	666
570	884	664
571	886	663
572	887	661
573	889	659
574	890	658
575	891	656
576	893	655
577	895	653
578	896	651
579	898	650
580	899	648
581	901	647
582	902	645
583	904	644
584	906	643
585	907	641
586	909	639
587	910	638
588	911	636
589	913	634
590	914	633
591	916	631
592	918	630
593	920	628
594	922	627
595	923	626
596	925	624
597	927	623
598	928	621
599	931	620
600	932	619
601	934	617
602	935	616
603	937	614
604	939	613
605	941	612
606	944	611
607	945	609
608	948	608
609	950	607
610	951	605
611	953	604
612	955	603
613	957	601
614	959	600
615	960	599
616	962	597
617	964	596
618	966	594
619	968	593
620	969	591
621	971	590
622	973	589
623	975	587
624	976	586
625	978	584
626	980	583
627	982	581
628	983	580
629	985	578
630	987	577
631	988	575
632	990	574
633	992	572
634	994	571
635	995	569
636	997	568
637	999	566
638	1000	565
639	1002	564
640	1004	562
641	1006	561
642	1007	559
643	1009	557
644	1011	556
645	1012	554
646	1014	553
647	1016	552
648	1017	550
649	1019	548
650	1020	547
651	1022	545
652	1024	544
653	1025	542
654	1027	541
655	1029	539
656	1031	538
657	1032	536
658	1034	535
659	1036	533
660	1038	532
661	1039	530
662	1041	529
663	1042	527
664	1044	526
665	1045	524
666	1047	522
667	1049	521
668	1050	519
669	1052	518
670	1053	516
671	1055	514
672	1056	513
673	1057	511
674	1059	510
675	1060	508
676	1062	506
677	1064	505
678	1065	503
679	1067	502
680	1068	500
681	1070	499
682	1072	497
683	1074	496
684	1075	494
685	1077	493
686	1079	491
687	1081	490
688	1082	488
689	1084	487
690	1085	485
691	1087	483
692	1088	482
693	1090	480
694	1092	479
695	1094	477
696	1095	476
697	1097	474
698	1099	473
699	1100	471
700	1102	470
701	1104	468
702	1106	467
703	1108	466
704	1110	464
705	1112	463
706	1115	462
707	1117	461
708	1119	459
709	1121	458
710	1124	457
711	1126	455
712	1128	454
713	1130	452
714	1133	451
715	1136	450
716	1138	449
717	1141	448
718	1143	446
719	1145	445
720	1147	444
721	1149	442
722	1151	441
723	1154	440
724	1156	438
725	1159	437
726	1161	436
727	1163	434
728	1165	433
729	1167	431
730	1169	430
731	1171	428
732	1173	427
733	1175	426
734	1177	424
735	1179	423
736	1181	421
737	1183	420
738	1185	418
739	1187	417
740	1188	415
741	1190	414
742	1192	412
743	1194	410
744	1196	409
745	1198	408
746	1200	406
747	1202	405
748	1204	403
749	1206	402
750	1208	400
751	1210	399
752	1211	397
753	1213	395
754	1215	394
755	1217	392
756	1218	391
757	1220	389
758	1221	387
759	1223	386
760	1224	384
761	1226	383
762	1227	381
763	1229	379
764	1231	378
765	1233	376
766	1234	375
767	1236	373
768	1237	371
769	1239	370
770	1240	368
771	1242	366
772	1244	365
773	1245	363
774	1247	362
775	1248	360
776	1250	358
777	1251	357
778	1253	355
779	1254	353
780	1256	352
781	1258	350
782	1260	349
783	1262	347
784	1263	346
785	1265	344
786	1266	342
787	1268	341
788	1270	339
789	1272	338
790	1273	336
791	1275	334
792	1276	333
793	1278	331
794	1279	330
795	1281	328
796	1283	326
797	1284	325
798	1286	323
799	1287	321
800	1289	320
801	1290	318
802	1291	316
803	1293	315
804	1294	313
805	1296	311
806	1297	310
807	1298	308
808	1300	307
809	1302	305
810	1303	303
811	1304	302
812	1305	300
813	1307	298
814	1308	296
815	1309	295
816	1311	293
817	1312	292
818	1313	290
819	1315	288
820	1316	287
821	1318	285
822	1319	283
823	1321	282
824	1322	280
825	1323	278
826	1324	277
827	1325	275
828	1328	273
829	1329	272
830	1330	270
831	1331	268
832	1332	267
833	1334	265
834	1335	263
835	1336	262
836	1337	260
837	1339	258
838	1340	257
839	1341	255
840	1342	253
841	1343	252
842	1344	250
843	1346	248
844	1347	247
845	1348	245
846	1349	243
847	1350	242
848	1351	240
849	1352	238
850	1353	236
851	1354	235
852	1355	233
853	1356	231
854	1358	230
855	1359	228
856	1360	227
857	1361	225
858	1362	223
859	1364	222
860	1365	220
861	1367	218
862	1368	217
863	1369	215
864	1370	213
865	1371	212
866	1372	210
867	1373	208
868	1374	207
869	1375	205
870	1377	204
871	1379	202
872	1380	200
873	1381	199
874	1382	197
875	1383	195
876	1384	194
877	1385	192
878	1386	190
879	1387	189
880	1388	187
881	1389	185
882	1390	184
883	1391	182
884	1392	180
885	1393	179
886	1394	177
887	1395	176
888	1397	174
889	1398	172
890	1399	171
891	1400	169
892	1401	167
893	1402	166
894	1403	164
895	1405	163
896	1406	161
897	1407	159
898	1408	158
899	1409	156
900	1410	155
901	1412	153
902	1413	151
903	1414	150
904	1415	148
905	1416	147
906	1417	145
907	1419	143
908	1420	142
909	1421	140
910	1422	138
911	1423	137
912	1424	135
913	1425	134
914	1427	132
915	1428	130
916	1430	129
917	1431	127
918	1432	126
919	1433	124
920	1434	123
921	1436	121
922	1437	119
923	1438	118
924	1439	116
925	1440	115
926	1441	113
927	1442	111
928	1443	110
929	1445	108
930	1446	107
931	1447	105
932	1448	104
933	1449	102
934	1450	100
935	1452	99
936	1453	97
937	1454	96
938	1456	94
939	1457	93
940	1459	91
941	1460	89
942	1461	88
943	1462	86
944	1464	85
945	1465	83
946	1466	82
947	1468	80
948	1469	78
949	1471	77
950	1472	75
951	1473	74
952	1474	72
953	1476	71
954	1477	69
955	1479	68
956	1480	66
957	1481	64
958	1482	63
959	1483	61
960	1485	60
961	1486	58
962	1487	57
963	1488	55
964	1490	54
965	1491	52
966	1492	50
967	1494	49
968	1495	47
969	1496	46
970	1498	44
971	1499	43
972	1500	41
973	1501	40
974	1503	38
975	1504	36
976	1505	35
977	1506	33
978	1507	32
979	1508	30
980	1509	29
981	1511	27
982	1512	26
983	1513	24
984	1514	23
985	1515	21
986	1516	19
987	1517	18
988	1518	16
989	1520	15
990	1521	13
991	1522	12
992	1523	10
993	1524	9
994	1526	7
995	1528	6
996	1529	4
997	1530	3
998	1531	1
999	1532	0
